File,Annotator 1,Annotator 2,Annotator 3,Sentence,Code,Re_Emo
RP001,Happy,Happy,Happy,Yes! Oh my God Shea and I won working together.,1,hap
RP002,Happy,Happy,Happy,"Finally, a win!",1,hap
RP003,Happy,Happy,Happy,"I am so happy, yes!",1,hap
RP004,Happy,Neutral,Neutral,"We've had three challenges, I've been safe the whole time.",1,hap
RP005,Happy,Neutral,Neutral,"And while I feel confident that I've turned some really cool looks so far, being safe is a scary place 'cause you don t know if you're forgettable or if you're just doing well and coasting through the competition.",1,hap
RP006,Happy,Happy,Happy,What a solid team. And also con-drag-ulations to Aja for picking such a good group of girls.,1,hap
RP007,Happy,Sad,Happy,"Well honestly, this is a wake up call for me in so many ways.",1,hap
RP008,Happy,Sad,Happy,"Like I've just felt so in my head and I feel so good right now, I listened to the critiques.",1,hap
RP009,Happy,Neutral,Happy,"You are so beautiful and you are just like accentuating that in the full, true queen that you are.",1,hap
RP010,Neutral,Sad,Sad,It's just really hard to like embrace like my natural features because like all my life I've just been told that I was ugly for my natural features.,3,neu
RP011,Neutral,Sad,Sad,"And when I first started doing drag like, you know, like if I were to paint like a face like Farrah's or Valentina's is very soft and blended, people come up to me and be like ""Oh what are you doing? Like you look ugly. Like nothing's gonna help that face, like oh you need fillers. Oh you need this, you need that.""",3,neu
RP012,Neutral,Sad,Sad,"Like you know, people would make fun of my skin. And like my scars.",3,neu
RP013,Neutral,Sad,Sad,I've always struggled with the idea of beauty.,3,neu
RP014,Neutral,Sad,Sad,Because there's such a pressure to fit a certain image.,3,neu
RP015,Neutral,Sad,Sad,"And the reality is, we don t have to fit the image.",3,neu
RP016,Neutral,Sad,Sad,"Beauty has no identity, so I have to feel confident and maybe channel that in myself.",3,neu
RP017,Happy,Angry,Happy,It feels really good because last week I was in a dark place.,1,hap
RP018,Happy,Angry,Happy,"Being that constructing clothes is like you know, my trade.",1,hap
RP019,Happy,Angry,Happy,I at least wanted to be in the top.,1,hap
RP020,Happy,Angry,Happy,"And then to just be safe, I was like-- And I didn t even look on the bright side that I was at least moving forward in the competition.",1,hap
RP021,Happy,Angry,Happy,It wasn t like I was lip syncing. You know what I'm saying?,1,hap
RP022,Happy,Neutral,Neutral,So it's all about perspective and I think that as long as we can all maintain that and realize that we are like here for a reason that we just have to do our best.,1,hap
RP023,Happy,Neutral,Neutral,I think that we'll all be really successful going forward in the competition.,1,hap
RP024,Sad,Sad,Other,Oh God.,2,sad
RP025,Neutral,Angry,Angry,I don t want to think about it.,3,neu
RP026,Angry,Sad,Sad,I don t want to see Peppermint go.,0,ang
RP027,Happy,Sad,Sad,'Cause I love Peppermint's energy so much.,1,hap
RP028,Sad,Sad,Sad,I can't imagine this group of girls without her.,2,sad
RP029,Neutral,Angry,Angry,She wasn t a good group leader.,3,neu
RP030,Angry,Neutral,Neutral,Well I chose Trinity 'cause she was our team captain.,0,ang
RP031,Angry,Neutral,Neutral,Also because of the critiques that they got as anchors.,0,ang
RP032,Angry,Neutral,Neutral,"And I chose you over Peppermint only because to me, as a leader, you automatically get more responsibility for something going wrong, especially if it's your group.",0,ang
RP033,Angry,Neutral,Neutral,You see what I'm saying?,0,ang
RP034,Sad,Sad,Sad,I'm not upset that you picked me at all. I completely--,2,sad
RP035,Angry,Angry,Angry,Well you retaliated like you were pretty upset.,0,ang
RP036,Angry,Angry,Angry,I take responsibility for the things that I did wrong in our segment.,0,ang
RP037,Angry,Angry,Angry,"But what I don t agree with, and what I think you're very shady about--",0,ang
RP038,Angry,Angry,Angry,It's not shady if it's true.,0,ang
RP039,Angry,Sad,Angry,You said that I was not a good leader.,0,ang
RP040,Angry,Sad,Angry,"I was a good leader, yes we ran out of time and we did not get to do it all together.",0,ang
RP041,Angry,Sad,Angry,"But that wasn t just my fault, we were working as a team.",0,ang
RP042,Angry,Sad,Angry,That is why you're shady.,0,ang
RP043,Angry,Sad,Angry,Am I shady?,0,ang
RP044,Angry,Sad,Angry,Because I feel like you want to immediately want to go to shady versus stepping up and accepting responsibility.,0,ang
RP045,Angry,Angry,Angry,You're making it about something else that it's not.,0,ang
RP046,Angry,Neutral,Other,"When we sat down, I felt like it was, ""Well me and Peppermint are the anchors, they're gonna do this 'cause they want to do that. Nina, Eureka, y'all are dong D.I.Y.""",0,ang
RP047,Angry,Angry,Angry,No. You're done because I'm gonna tell you why you're done.,0,ang
RP048,Angry,Angry,Angry,I explained exactly why I picked you for that role and Cucu for that role.,0,ang
RP049,Angry,Angry,Angry,They could have objected and we could have talked it out.,0,ang
RP050,Angry,Angry,Angry,So don't stand on the stage and say I didn t do my job because I did.,0,ang
RP051,Angry,Angry,Angry,"That I should take responsibility and I should be on the bottom because I'm the leader, I can do that.",0,ang
RP052,Angry,Angry,Angry,But don t say I didn t do my job!,0,ang
RP053,Angry,Sad,Neutral,I felt like I wasn t included.,0,ang
RP054,Angry,Sad,Neutral,You and Peppermint--,0,ang
RP055,Angry,Angry,Angry,You always think you're not included.,0,ang
RP056,Angry,Angry,Angry,"You think I don t know, I know you.",0,ang
RP057,Angry,Sad,Angry,You don t know me baby.,0,ang
RP058,Happy,Happy,Happy,"Well she successfully was put back into place, honey.",1,hap
RP059,Neutral,Neutral,Other,"Trinity, I want to know if you like actually cared about what your group thought and let them pick what they wanted to do.",3,neu
RP060,Neutral,Neutral,Other,"Because our group, we did so well because Aja let us read through all the parts and like pick what we felt like we would be strong as.",3,neu
RP061,Neutral,Neutral,Other,We all did parts that we related to.,3,neu
RP062,Angry,Angry,Other,"'Cause the word that was thrown around in the work room, and I'm just gonna be real, was that you were a dictator.",0,ang
RP063,Angry,Angry,Other,"Well this is the part about being a leader, is that you have to make decisions.",0,ang
RP064,Angry,Angry,Other,So I made decisions based on the personalities of the people and what I thought that they would excel at.,0,ang
RP065,Angry,Angry,Other,She obviously is a crafty queen.,0,ang
RP066,Angry,Angry,Other,She makes sickening stuff out of paper.,0,ang
RP067,Angry,Angry,Other,Why would she not excel in that aspect?,0,ang
RP068,Neutral,Neutral,Neutral,"I knew that her personality with the way Eureka's personality is, they would be able to interact really well together.",3,neu
RP069,Neutral,Neutral,Neutral,It just sounds like dictator-y.,3,neu
RP070,Neutral,Neutral,Neutral,"I think it's your look. You have a very serious like bitch, don t fuck with me.",3,neu
RP071,Neutral,Sad,Happy,I've got fifty units of Botox in my face girl!,3,neu
RP072,Neutral,Sad,Happy,I don t know what y'all want from me.,3,neu